iter	RMSE
0	5674890.137
1	5457259.273
2	5235370.303
3	5020167.562
4	4817627.713
5	4621692.653
6	4451095.592
7	4279164.909
8	4100515.029
9	3960799.574
10	3828463.279
11	3673444.771
12	3533035.827
13	3404158.473
14	3272151.066
15	3163424.322
16	3045849.818
17	2927479.315
18	2814474.564
19	2716882.604
20	2608363.488
21	2505985.581
22	2417332.189
23	2323875.082
24	2235458.247
25	2151226.865
26	2074058.51
27	1995446.796
28	1925844.559
29	1857561.182
30	1787515.974
31	1719014.582
32	1666986.124
33	1621170.407
34	1565945.59
35	1504907.341
36	1456492.661
37	1408488.218
38	1356561.821
39	1314457.323
40	1267288.041
41	1221817.736
42	1180337.277
43	1139636.897
44	1096800.432
45	1057407.494
46	1024645.836
47	995476.1073
48	958951.0455
49	927496.5606
50	894319.5753
51	865268.7006
52	838904.0929
53	810931.3566
54	785712.864
55	760328.7443
56	734959.245
57	713084.4302
58	695782.2422
59	675625.985
60	656886.5395
61	636165.7091
62	617329.0115
63	599376.3522
64	584154.4495
65	567896.0982
66	552053.4537
67	536332.3428
68	524943.0908
69	511081.4896
70	499387.106
71	488300.3096
72	478633.6629
73	468254.3422
74	456797.9237
75	447302.8264
76	439843.7608
77	431002.0191
78	423067.4652
79	414821.0265
80	407890.3862
81	400096.249
82	392129.7878
83	384128.5074
84	377162.1553
85	369714.6464
86	362658.0682
87	355667.3833
88	351074.4466
89	345573.3517
90	340532.0632
91	333779.2815
92	328678.443
93	323249.7532
94	318138.2171
95	312310.3684
96	307857.8149
97	304767.7853
98	300841.5911
99	294754.2777
100	290896.8367
101	287258.4389
102	282882.1651
103	278766.4024
104	275864.315
105	271991.8218
106	268039.1101
107	264919.2637
108	261908.5599
109	259453.5392
110	256090.5306
111	254568.8786
112	250661.3131
113	248003.2891
114	245736.59
115	244362.4223
116	242009.9756
117	239156.9282
118	236937.9754
119	233325.4403
120	231452.1908
121	228651.5929
122	227261.5772
123	225433.3994
124	223570.275
125	221223.6484
126	219392.4482
127	217425.1296
128	215253.8689
129	213498.437
130	212433.1763
131	209980.7601
132	208003.5566
133	206902.3436
134	205833.3712
135	204875.435
136	202080.5304
137	200491.1397
138	198209.6081
139	196693.2628
140	195011.8474
141	192166.4925
142	191407.7293
143	189351.1075
144	187346.5353
145	186777.4322
146	186353.3107
147	184513.0376
148	183505.7414
149	181830.3126
150	179381.2535
151	177991.2769
152	175721.6825
153	173621.9556
154	173059.8165
155	171117.7778
156	170130.5192
157	169222.5957
158	167794.2666
159	166479.8937
160	165316.6318
161	163929.9906
162	162506.0402
163	161577.3801
164	160433.2554
165	159579.6005
166	158426.6731
167	158124.0956
168	156611.1123
169	155508.5243
170	154147.1997
171	152920.8953
172	151645.7708
173	150633.477
174	149790.2207
175	148639.7055
176	148326.0537
177	147540.9689
178	146407.4791
179	146177.6883
180	145133.1533
181	144092.5503
182	142593.6989
183	141592.4724
184	140649.8586
185	139683.5118
186	139537.8705
187	139419.0458
188	139140.466
189	138839.6743
190	138142.2561
191	137849.2371
192	137557.9474
193	137349.1199
194	137123.5847
195	135409.1451
196	134079.2943
197	133888.3453
198	132655.6623
199	131150.4307
200	130245.7712
201	130078.7458
202	128909.4504
203	128780.3464
204	127975.4707
205	127839.8244
206	127715.59
207	127138.6845
208	127021.975
209	126184.8499
210	125044.2201
211	124930.5571
212	123892.8706
213	123775.4454
214	123659.7204
215	122966.0758
216	122777.8491
217	121986.9034
218	121141.3312
219	121069.4046
220	120263.6444
221	120141.0019
222	119974.5749
223	119229.7989
224	119083.2871
225	118328.216
226	117611.9482
227	116940.2274
228	116825.7579
229	115875.5523
230	115075.9665
231	114976.9375
232	114884.9033
233	113918.6461
234	113255.3821
235	113194.9495
236	112520.9628
237	112428.4751
238	112134.0426
239	111280.3857
240	110983.1408
241	110353.1307
242	110005.401
243	109207.3854
244	108972.2518
245	108386.1413
246	108225.9689
247	107560.9774
248	107269.3796
249	106939.983
250	106286.9027
251	105744.0421
252	105696.4194
253	105143.7446
254	105101.6866
255	105057.1166
256	104976.9188
257	104262.5307
258	103759.0429
259	103232.9455
260	102692.8395
261	102650.171
262	102608.6872
263	102474.6863
264	102235.0311
265	101735.4562
266	101227.0214
267	101101.5184
268	100588.5661
269	99942.39774
270	99592.02232
271	98956.53601
272	98350.79066
273	98283.32783
274	97773.77412
275	97199.25007
276	96870.84214
277	96456.97498
278	96354.87974
279	95829.47133
280	95416.03413
281	95297.4633
282	94757.98278
283	94711.136
284	94253.10141
285	94221.94366
286	93607.0095
287	93292.1909
288	92912.20389
289	92882.08543
290	92710.33302
291	92264.67147
292	91966.26948
293	91683.01328
294	91388.01471
295	90890.052
296	90807.42857
297	90505.72813
298	90077.61983
299	89693.34209
