iter	Passed	Remaining
0	2	837
1	7	1177
2	9	988
3	12	888
4	13	823
5	15	781
6	18	770
7	23	850
8	25	824
9	27	796
10	29	771
11	31	755
12	32	728
13	34	708
14	39	744
15	41	732
16	43	721
17	45	709
18	47	699
19	49	690
20	54	723
21	56	709
22	57	695
23	59	682
24	61	681
25	63	674
26	65	666
27	69	672
28	71	666
29	72	656
30	74	646
31	76	638
32	77	630
33	80	626
34	84	636
35	86	630
36	88	625
37	90	621
38	92	618
39	94	614
40	97	614
41	100	615
42	101	609
43	103	602
44	105	598
45	107	594
46	109	588
47	111	582
48	116	595
49	118	591
50	120	589
51	122	585
52	124	581
53	126	577
54	129	578
55	131	574
56	134	573
57	136	570
58	138	567
59	143	574
60	147	578
61	151	579
62	154	580
63	160	591
64	165	597
65	171	607
66	182	634
67	186	635
68	190	637
69	194	638
70	197	636
71	200	634
72	203	631
73	207	634
74	210	630
75	213	628
76	216	628
77	225	642
78	229	641
79	233	641
80	241	652
81	243	648
82	246	645
83	249	641
84	257	650
85	260	648
86	264	647
87	273	658
88	277	658
89	281	657
90	288	662
91	292	661
92	297	662
93	302	661
94	306	661
95	309	658
96	313	655
97	319	658
98	324	659
99	328	656
100	331	652
101	335	651
102	338	647
103	341	643
104	344	639
105	347	635
106	351	634
107	355	631
108	362	635
109	368	636
110	371	631
111	373	627
112	375	621
113	377	616
114	383	617
115	386	613
116	389	608
117	392	604
118	394	599
119	397	595
120	399	591
121	401	585
122	403	580
123	405	575
124	407	570
125	409	565
126	414	564
127	416	560
128	420	557
129	423	553
130	427	551
131	430	548
132	432	542
133	434	537
134	435	532
135	437	527
136	439	522
137	440	517
138	444	514
139	446	510
140	447	505
141	449	500
142	451	495
143	452	490
144	454	485
145	455	480
146	458	477
147	461	473
148	462	468
149	465	465
150	468	462
151	471	458
152	476	457
153	479	454
154	482	450
155	484	447
156	486	443
157	489	439
158	492	436
159	494	432
160	495	427
161	497	423
162	499	419
163	500	415
164	508	415
165	511	412
166	513	409
167	515	404
168	516	400
169	520	398
170	523	394
171	525	390
172	527	387
173	529	383
174	531	379
175	533	375
176	536	373
177	539	369
178	540	365
179	542	361
180	543	357
181	545	353
182	547	350
183	550	347
184	553	343
185	555	340
186	557	336
187	559	333
188	561	330
189	565	327
190	568	324
191	570	320
192	572	317
193	574	313
194	576	310
195	578	306
196	581	303
197	583	300
198	586	297
199	588	294
200	590	290
201	592	287
202	594	283
203	599	281
204	601	278
205	603	275
206	605	271
207	606	268
208	608	264
209	609	261
210	614	259
211	616	255
212	618	252
213	620	249
214	622	245
215	623	242
216	625	239
217	628	236
218	630	233
219	632	230
220	634	226
221	635	223
222	637	220
223	638	216
224	640	213
225	645	211
226	648	208
227	651	205
228	654	203
229	656	199
230	659	197
231	661	193
232	662	190
233	665	187
234	667	184
235	668	181
236	674	179
237	676	176
238	677	172
239	679	169
240	680	166
241	682	163
242	684	160
243	686	157
244	690	154
245	692	151
246	694	148
247	696	145
248	698	143
249	701	140
250	704	137
251	706	134
252	709	131
253	711	128
254	712	125
255	714	122
256	717	120
257	720	117
258	722	114
259	724	111
260	726	108
261	728	105
262	731	102
263	734	100
264	736	97
265	737	94
266	739	91
267	740	88
268	742	85
269	744	82
270	749	80
271	751	77
272	753	74
273	755	71
274	757	68
275	759	66
276	761	63
277	764	60
278	766	57
279	768	54
280	769	52
281	771	49
282	773	46
283	775	43
284	779	41
285	781	38
286	783	35
287	785	32
288	787	29
289	790	27
290	795	24
291	798	21
292	801	19
293	803	16
294	805	13
295	807	10
296	809	8
297	811	5
298	813	2
299	815	0
